id,name,terminalName,Y,longitude,installed,locked,installDate,temporary,available_bikes,empty_docks,total_docks
126,"Museum of London, Barbican",1043,51.51782144,-0.096496865,TRUE,FALSE,1.28E+12,0,50,2,52
121,"Baker Street, Marylebone",1086,51.51891348,-0.156166631,TRUE,FALSE,1.28E+12,0,0,22,22
92,"Borough Road, Elephant &amp; Castle",1082,51.49889832,-0.100440521,TRUE,FALSE,1.28E+12,0,34,7,41
64,"William IV Street, Strand",1028,51.50946212,-0.124749274,TRUE,FALSE,1.28E+12,0,1,23,26
52,"Roscoe Street, St. Luke's",1026,51.52295439,-0.094934859,TRUE,FALSE,1.28E+12,0,15,0,18
47,"Warwick Avenue Station, Maida Vale",1027,51.52334476,-0.183846408,TRUE,FALSE,1.28E+12,0,5,12,19
53,"Grafton Street, Mayfair",3431,51.5099923,-0.143495266,TRUE,FALSE,1.28E+12,0,15,1,18
133,"Derry Street, Kensington",3436,51.50136494,-0.191462381,TRUE,FALSE,1.28E+12,0,14,3,18
108,"Abbey Orchard Street, Westminster",3429,51.49812559,-0.132102166,TRUE,FALSE,1.28E+12,0,16,11,29
98,"Hampstead Road, Euston",972,51.52554222,-0.138231303,TRUE,FALSE,1.28E+12,0,11,41,54
106,"Woodstock Street, Mayfair",1042,51.51410514,-0.147301667,TRUE,FALSE,1.28E+12,0,14,6,21
111,"Park Lane , Hyde Park",1037,51.5100172,-0.157275636,TRUE,FALSE,1.28E+12,1,4,23,28
56,"Paddington Street, Marylebone",1033,51.52058381,-0.154701411,TRUE,FALSE,1.28E+12,0,0,15,16
58,"New Inn Yard, Shoreditch",1032,51.52452699,-0.079248081,TRUE,FALSE,1.28E+12,0,11,8,20
60,"Lisson Grove, St. John's Wood",1030,51.52644828,-0.172190727,TRUE,FALSE,1.28E+12,0,0,18,18
410,"Edgware Road Station, Paddington",1058,51.519968,-0.169774,TRUE,FALSE,-1,0,0,64,64
59,"Rodney Street, Angel",1014,51.53176825,-0.114329032,TRUE,FALSE,1.28E+12,0,8,22,30
203,"West Smithfield Rotunda, Farringdon",1040,51.51821864,-0.100791005,TRUE,FALSE,1.28E+12,0,11,2,15
105,"Westbourne Grove, Bayswater",1041,51.51552971,-0.190240716,TRUE,FALSE,1.28E+12,0,0,26,26
134,"Wapping High Street, Wapping",1039,51.504904,-0.06797,TRUE,FALSE,1.28E+12,0,1,18,20
119,"Bath Street, St. Luke's",964,51.52589324,-0.090847761,TRUE,FALSE,1.28E+12,0,10,4,18
148,"Tachbrook Street, Victoria",965,51.49211134,-0.138364847,TRUE,FALSE,-1,0,1,15,16
50,"East Road, Hoxton",1054,51.52867339,-0.087459376,TRUE,FALSE,1.28E+12,0,1,26,27
70,"Calshot Street , King's Cross",1066,51.53136059,-0.117069978,TRUE,FALSE,1.28E+12,0,0,23,24
71,"Newgate Street , St. Paul's",1074,51.5154186,-0.098850915,TRUE,FALSE,1.28E+12,0,30,2,34
73,"Old Street Station, St. Luke's",1064,51.52572618,-0.088486188,TRUE,FALSE,1.28E+12,0,17,16,37
72,"Farringdon Lane, Clerkenwell",3432,51.52352001,-0.108340165,TRUE,FALSE,1.28E+12,0,15,1,16
